marca,modelo,preco_parcelado,preco_avista,parcelas,valor_parcela,url
Oggi,Bicicleta Aro 700 Oggi Speed Velloce Claris (*) 16V Preto/Vermelho,2299.90,2184.90,12x,191.66,https://www.darien.com.br/produto/bicicleta-aro-700-oggi-speed-velloce-claris-16v-pretovermelho.html
First,Bicicleta Aro 29 First Smitt 21V Azul Brilho,2399.90,2279.90,12x,199.99,https://www.darien.com.br/Bicicleta-Aro-29-First-Smitt-21V-Azul-Brilho
TSW,Bicicleta Aro 29 TSW Jump 27V Preto,2899.90,2754.90,12x,241.66,https://www.darien.com.br/Mountain-Bike-Aro-29-TSW-Jump-27V-Preto-11187
Sense,Bicicleta Aro 29 Sense Impact Evo (2021) Cinza/Laranja,15990.00,15190.50,12x,1332.5,https://www.darien.com.br/produto/bicicleta-aro-29-sense-impact-evo-2021-cinzalaranja.html
Audax,Bicicleta Aro 29 Audax ADX 101 (2020) Preto/Rosa,2459.00,2336.05,12x,204.92,https://www.darien.com.br/bicicleta-aro-29-audax-adx-101-2020-pretorosa
Status,Bicicleta Aro 20 Status Cross Aero Masc Preto Fosco,21799.90,20709.90,12x,1816.66,https://www.darien.com.br/bicicleta-aro-20-status-cross-aero-masc-preto-fosco
TSW,Bicicleta Aro 29 Tsw Rava Pressure Preto/Pink/Azul  21V Mecanico 12139,2099.90,1994.90,12x,174.99,https://www.darien.com.br/bicicleta-aro-29-tsw-rava-pressure-pretopinkazul-21v-mecanico-12139
TSW,Bicicleta Aro 29 Tsw Rava Pressure 24V Preto/Pink/Azul Mecanico,2099.90,1994.90,12x,174.99,https://www.darien.com.br/bicicleta-aro-29-tsw-rava-pressure-pretopinkazul-24v-mecanico
Audax,Bicicleta Aro 29 Usada Audax ADX 100 T19 V21 Cinza/Branco Cli: 1531,2459.00,2336.05,12x,204.92,https://www.darien.com.br/bicicleta-aro-29-usada-audax-adx-100-t19-v21-cinzabranco-cli-1531
TSW,Bicicleta Aro 29 TSW Rava Vulcano 27V Preto/Branco,3199.90,3039.90,12x,266.66,https://www.darien.com.br/bicicleta-aro-29-tsw-rava-vulcano-27v-pretobranco
Sense,Bicicleta Aro 29 Sense Rock Evo (2021) Cinza/Azul,15990.00,15190.50,12x,1332.5,https://www.darien.com.br/bicicleta-aro-29-sense-rock-evo-2021-cinzaazul
Dvorak,Bicicleta Aro 29 Dvorak 18V Hidraulico Preto/Preto,3399.90,3229.90,12x,283.32,https://www.darien.com.br/bicicleta-aro-29-dvorak-18v-hidraulico-pretopreto
Sense,Bicicleta Aro 29 Sense Impact Pro  Preto/Verde,15990.00,15190.50,12x,1332.5,https://www.darien.com.br/bicicleta-aro-29-sense-impact-pro-preto/verde
Nathor,Bicicleta Aro 16 Nathor Lady Aro Aluminio Vermelho,559.90,531.90,12x,46.66,https://www.darien.com.br/bicicleta-aro-16-nathor-lady-aro-aluminio-vermelho
